OrderID,Date,Product,Category,Quantity,UnitPrice,TotalSales
1000,2023-01-01,Headphones,Accessories,1,150,150
1001,2023-01-01,Mouse,Accessories,3,50,150
1002,2023-01-01,Monitor,Electronics,1,300,300
1003,2023-01-01,Mouse,Accessories,2,50,100
1004,2023-01-01,Tablet,Electronics,3,500,1500
1005,2023-01-01,Tablet,Electronics,3,500,1500
1006,2023-01-01,Monitor,Electronics,4,300,1200
1007,2023-01-01,Tablet,Electronics,2,500,1000
1008,2023-01-01,Monitor,Electronics,2,300,600
1009,2023-01-01,Headphones,Accessories,2,150,300
1010,2023-01-01,Keyboard,Accessories,2,100,200
1011,2023-01-02,Laptop,Electronics,4,1200,4800
1012,2023-01-02,Phone,Electronics,2,800,1600
1013,2023-01-02,Monitor,Electronics,4,300,1200
1014,2023-01-02,Laptop,Electronics,1,1200,1200
1015,2023-01-02,Tablet,Electronics,3,500,1500
1016,2023-01-02,Mouse,Accessories,2,50,100
1017,2023-01-02,Headphones,Accessories,4,150,600
1018,2023-01-02,Mouse,Accessories,2,50,100
1019,2023-01-02,Keyboard,Accessories,3,100,300
1020,2023-01-03,Headphones,Accessories,3,150,450
1021,2023-01-03,Headphones,Accessories,4,150,600
1022,2023-01-03,Laptop,Electronics,3,1200,3600
1023,2023-01-03,Monitor,Electronics,3,300,900
1024,2023-01-03,Mouse,Accessories,1,50,50
1025,2023-01-03,Laptop,Electronics,3,1200,3600
1026,2023-01-03,Phone,Electronics,4,800,3200
1027,2023-01-04,Headphones,Accessories,2,150,300
1028,2023-01-04,Phone,Electronics,2,800,1600
1029,2023-01-04,Laptop,Electronics,2,1200,2400
1030,2023-01-04,Monitor,Electronics,2,300,600
1031,2023-01-04,Headphones,Accessories,4,150,600
1032,2023-01-04,Mouse,Accessories,4,50,200
1033,2023-01-04,Mouse,Accessories,4,50,200
1034,2023-01-04,Monitor,Electronics,4,300,1200
1035,2023-01-04,Mouse,Accessories,3,50,150
1036,2023-01-04,Keyboard,Accessories,1,100,100
1037,2023-01-04,Headphones,Accessories,2,150,300
1038,2023-01-04,Headphones,Accessories,2,150,300
1039,2023-01-04,Keyboard,Accessories,2,100,200
1040,2023-01-05,Phone,Electronics,4,800,3200
1041,2023-01-05,Keyboard,Accessories,1,100,100
1042,2023-01-05,Mouse,Accessories,2,50,100
1043,2023-01-05,Phone,Electronics,4,800,3200
1044,2023-01-05,Phone,Electronics,2,800,1600
1045,2023-01-05,Keyboard,Accessories,4,100,400
1046,2023-01-05,Keyboard,Accessories,3,100,300
1047,2023-01-05,Mouse,Accessories,4,50,200
1048,2023-01-05,Keyboard,Accessories,3,100,300
1049,2023-01-05,Headphones,Accessories,1,150,150
1050,2023-01-06,Monitor,Electronics,4,300,1200
1051,2023-01-06,Monitor,Electronics,2,300,600
1052,2023-01-06,Mouse,Accessories,1,50,50
1053,2023-01-06,Phone,Electronics,1,800,800
1054,2023-01-06,Headphones,Accessories,4,150,600
1055,2023-01-06,Headphones,Accessories,1,150,150
1056,2023-01-06,Laptop,Electronics,1,1200,1200
1057,2023-01-06,Mouse,Accessories,1,50,50
1058,2023-01-06,Laptop,Electronics,1,1200,1200
1059,2023-01-06,Mouse,Accessories,1,50,50
1060,2023-01-06,Laptop,Electronics,4,1200,4800
1061,2023-01-06,Mouse,Accessories,3,50,150
1062,2023-01-07,Laptop,Electronics,4,1200,4800
1063,2023-01-07,Tablet,Electronics,3,500,1500
1064,2023-01-07,Laptop,Electronics,3,1200,3600
1065,2023-01-07,Monitor,Electronics,2,300,600
1066,2023-01-07,Mouse,Accessories,2,50,100
1067,2023-01-07,Laptop,Electronics,4,1200,4800
1068,2023-01-07,Mouse,Accessories,1,50,50
1069,2023-01-08,Headphones,Accessories,2,150,300
1070,2023-01-08,Laptop,Electronics,4,1200,4800
1071,2023-01-08,Mouse,Accessories,3,50,150
1072,2023-01-08,Keyboard,Accessories,4,100,400
1073,2023-01-08,Monitor,Electronics,3,300,900
1074,2023-01-08,Headphones,Accessories,4,150,600
1075,2023-01-08,Keyboard,Accessories,3,100,300
1076,2023-01-08,Tablet,Electronics,1,500,500
1077,2023-01-08,Tablet,Electronics,1,500,500
1078,2023-01-08,Mouse,Accessories,2,50,100
1079,2023-01-08,Tablet,Electronics,1,500,500
1080,2023-01-08,Monitor,Electronics,2,300,600
1081,2023-01-09,Mouse,Accessories,2,50,100
1082,2023-01-09,Mouse,Accessories,3,50,150
1083,2023-01-09,Laptop,Electronics,3,1200,3600
1084,2023-01-09,Mouse,Accessories,2,50,100
1085,2023-01-09,Phone,Electronics,4,800,3200
1086,2023-01-09,Monitor,Electronics,3,300,900
1087,2023-01-09,Mouse,Accessories,4,50,200
1088,2023-01-09,Mouse,Accessories,1,50,50
1089,2023-01-09,Headphones,Accessories,1,150,150
1090,2023-01-09,Headphones,Accessories,2,150,300
